,Res_Txn_Same,Ship_Res_Same,Time,Country of Transaction_United Kingdom,Shipping Address_United Kingdom,Country of Residence_United Kingdom,Entry Mode_PIN,Amount,Entry Mode_CVC,Entry Mode_Tap,Merchant Group_Children
65440,1.0,0.0,0.7391304347826086,1,0,1,1,0.4325,0,0,0
65326,0.0,0.0,0.6956521739130435,0,0,1,1,0.105,0,0,0
10802,1.0,0.0,0.7391304347826086,1,0,1,0,0.0475,0,1,1
79211,1.0,1.0,0.30434782608695654,1,1,1,0,0.0725,0,1,0
99027,1.0,0.0,0.5652173913043478,1,0,1,0,0.075,0,1,0
37148,0.0,0.0,0.5217391304347826,0,0,1,1,0.065,0,0,0
33940,1.0,0.0,0.5652173913043478,1,0,1,1,0.805,0,0,0
91358,1.0,1.0,0.7391304347826086,1,1,1,1,0.6625,0,0,0
15584,0.0,0.0,1.0,0,0,1,1,0.5275,0,0,0
16642,1.0,1.0,0.9130434782608695,1,1,1,1,0.7275,0,0,0
10851,0.0,0.0,0.21739130434782608,0,0,1,1,0.895,0,0,0
99776,1.0,1.0,0.6521739130434783,1,1,1,0,0.0675,1,0,1
8996,1.0,1.0,0.8260869565217391,0,0,0,0,0.0225,0,1,0
34055,1.0,1.0,0.3913043478260869,1,1,1,0,0.3325,1,0,0
96128,1.0,1.0,0.6956521739130435,1,1,1,1,0.8675,0,0,0
72769,1.0,0.0,0.7391304347826086,1,0,1,0,0.9425,1,0,0
45798,1.0,1.0,0.5217391304347826,0,0,0,0,0.07,1,0,0
98911,1.0,1.0,0.43478260869565216,1,1,1,0,0.3,1,0,0
12455,1.0,1.0,0.9565217391304348,1,1,1,0,0.1125,1,0,0
34044,1.0,1.0,0.6521739130434783,0,0,0,1,0.2975,0,0,0
42902,1.0,0.0,0.7391304347826086,1,0,1,1,0.0525,0,0,0
87399,1.0,1.0,0.6956521739130435,1,1,1,0,0.0225,0,1,0
24607,1.0,1.0,0.4782608695652174,1,1,1,1,0.055,0,0,0
67071,1.0,1.0,0.9565217391304348,0,0,0,0,0.385,1,0,1
21946,1.0,0.0,0.3913043478260869,1,0,1,0,0.7925,1,0,0
